,Time,User,Tweet
86,2022-03-19 11:47:08+00:00,reachcsrini,"@CustomerExpNews #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte
#BCG
#IBM
#Infosys
#Dell
#TCS
#NASSCOM
#Wipro
#GEAviation
#Unilever
@piyushmehta322
#Apple
#Virgin
#Oracle
#Unilever
#Tesla
#PepsiCo
#CEO
#HCL #DigitalTransformation https://t.co/aOKnVyswfz"
87,2022-03-19 11:22:35+00:00,reachcsrini,"@CNN #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte
#BCG
#IBM
#Infosys
#Dell
#TCS
#NASSCOM
#Wipro
#GEAviation
#Unilever
@piyushmehta322
#Apple
#Virgin
#Oracle
#Unilever
#Tesla
#PepsiCo
#CEO
#HCL #DigitalTransformation https://t.co/hpRmuTDPvR"
88,2022-03-19 11:05:49+00:00,basic_investor,"RT @KomalSecurities: #TCS bags multi-year deal from Australia's Western Power !!!

It is good for long term investors !!

Source:@KomalSecu…"
89,2022-03-19 10:56:29+00:00,weightLossHub24,"RT @sisbl_in: #IT major #TCS has #bagged a multi-year #contract from #Western #Power, an #Australian #government #entity, for #digital #tra…"
90,2022-03-19 10:50:49+00:00,sisbl_in,"#IT major #TCS has #bagged a multi-year #contract from #Western #Power, an #Australian #government #entity, for #digital #transformation of its #software #system for #delivery of #cleaner and #resilient #energy #supply to western #Australia.
https://t.co/I46EV0jse9"
91,2022-03-19 10:46:43+00:00,sisbl_in,"#TCS said on #March 17, that its #board has #reappointed #Rajesh #Gopinathan as the #MD and #CEO for five years from #February 21, 2022, to February 20, 2027, as per the #retirement age #policy of the #company.
https://t.co/aROZGvfsMq"
92,2022-03-19 10:32:54+00:00,ni_wa_yg,"RT @Sco_61: 【TCS】
本日の20時からマスターデュエルのZONe認定大会です！
優勝賞品は1500円分のプリペイドカードとZone1ケース(24本)です！
まだ枠が空いておりますのでぜひ！

https://t.co/axZcm65qhm

#TCS
#マスターデ…"
93,2022-03-19 10:29:07+00:00,Fabriciosx,"RT @it_shagun: Why choose us🤔🤔

.

.

.

.

#shagunitsolutions #businessproposal 

#instagood #laptoprental #ibm #tcs #technology #technews…"
94,2022-03-19 10:28:44+00:00,it_shagun,"Why choose us🤔🤔

.

.

.

.

#shagunitsolutions #businessproposal 

#instagood #laptoprental #ibm #tcs #technology #technews #startupindia #startup #computertechnology #computeronhire https://t.co/Zor0Su4pxf"
95,2022-03-19 10:27:13+00:00,Sco_61,"【TCS】
本日の20時からマスターデュエルのZONe認定大会です！
優勝賞品は1500円分のプリペイドカードとZone1ケース(24本)です！
まだ枠が空いておりますのでぜひ！

https://t.co/axZcm65qhm

#TCS
#マスターデュエル
#ZONeエナジー"
96,2022-03-19 10:23:58+00:00,FinancialInfo7,"Please comment your favourite IT companies and which companies you hold in your portfolio.
#ITcompanies
#tcs #infy #wipro #hcl #techm https://t.co/9C7FpMuezV"
97,2022-03-19 09:32:42+00:00,velu395956,"RT @KomalSecurities: #TCS bags multi-year deal from Australia's Western Power !!!

It is good for long term investors !!

Source:@KomalSecu…"
98,2022-03-19 09:18:19+00:00,shrenik1984,"RT @KomalSecurities: #TCS bags multi-year deal from Australia's Western Power !!!

It is good for long term investors !!

Source:@KomalSecu…"
99,2022-03-19 08:01:13+00:00,SamratD29489226,"RT @KomalSecurities: #TCS bags multi-year deal from Australia's Western Power !!!

It is good for long term investors !!

Source:@KomalSecu…"
100,2022-03-19 07:49:17+00:00,KomalSecurities,"#TCS bags multi-year deal from Australia's Western Power !!!

It is good for long term investors !!

Source:@KomalSecurities

#Komalsecurities #Pms #Nse #MultibaggerStock"
101,2022-03-19 07:30:00+00:00,Darshakshah28,RT @Megamiles_: IT major Tata Consultancy Services on Thursday said that its board has re-appointed Rajesh Gopinathan as the Managing Direc…
102,2022-03-19 06:42:13+00:00,WorkonicsC,TCS bags multi-year contract from Australia's Western Power #tcs https://t.co/rWMmgJEsh4
103,2022-03-19 06:33:02+00:00,srivatsa_a,"While document verification, portal is asking for relieving letter, can u suggest me how can i proceed with this.
As i will be providing the relieving orders as soon as i receive it from the present organisation.

@TCS #tcs
2/2"
104,2022-03-19 06:27:05+00:00,MrRajpurohitesh,"RT @MrRajpurohitesh: @TCS #digitalhiring #tcs #tcsiondigital im writing my tcs digital exam phase 2 on 19/3/2022
My DT no is DT20218385298…"
105,2022-03-19 06:26:52+00:00,the_rahulkumar,Very impressive 👍 #TDS #Tcs https://t.co/9PRCIZtbG5
106,2022-03-19 06:19:59+00:00,MrRajpurohitesh,"@TCS #digitalhiring #tcs #tcsiondigital im writing my tcs digital exam phase 2 on 19/3/2022
My DT no is DT20218385298
I was going good.When came to advance coding.I wrote my code and while compiling it took a lot of time, nearly 5-10 min. So thought to go to next question..cont. https://t.co/AVZA0OZOVa"
107,2022-03-19 06:17:26+00:00,CSEBBDNIIT,Congratulations for placement in TCS as Assistant System Engineer Trainee. #cse #job #bbdniit #tcs https://t.co/GIPZ3TRvvf
108,2022-03-19 06:03:54+00:00,kulkarnispeaks,@rachana_ranade Hum jahan khade hote hai..line wahi se shuru hoti hai #HUL #ASIANPAINTS #TCS
109,2022-03-19 05:49:20+00:00,Finquestsip,"TCS reappoints Rajesh Gopinathan as MD and CEO for five years. 

#tcs #it #tcsceoandmd #tcsceo https://t.co/AMLE2aQJ2W"
110,2022-03-19 05:43:48+00:00,jobsviatweet,"RT @KickCharm: TCS Vacancy for Various Roles Through Digital Hiring | Salary Package Rs 7 LPA+

#Hiring #Jobs #TCS #Career #IT #ITJobs #Eng…"
111,2022-03-19 05:30:17+00:00,jais_george,"TCS issues notice of postal ballot for reappointment of CEO, COO #Tcs #TcsCeo #TcsCeoReappointment #RajeshGopinathan #NGanapathySubramaniam #NChandrasekharan #TCSBallotVote  https://t.co/00k0LcBjAK"
